dialogue_id,context,response,domain,user_intents,user_slots,context_len,response_len
SNG1013.json,how about for 3 nights?,booked! reference number is: 84esp6f5,hotel,['book_hotel'],"{'hotel-area': 'south', 'hotel-bookday': 'tuesday', 'hotel-bookpeople': '4', 'hotel-bookstay': '3', 'hotel-internet': 'yes', 'hotel-name': 'aylesbray lodge guest house', 'hotel-parking': 'yes'}",5,5
SNG1013.json,great. i am all set then. have a nice day. bye.,have a nice stay. bye.,hotel,[],"{'hotel-area': 'south', 'hotel-bookday': 'tuesday', 'hotel-bookpeople': '4', 'hotel-bookstay': '3', 'hotel-internet': 'yes', 'hotel-name': 'aylesbray lodge guest house', 'hotel-parking': 'yes'}",11,5
PMUL0121.json,hi there! can you give me some info on cityroomz?,"cityroomz is located at sleeperz hotel, station road in the centre area. it is a moderatley priced hotel with a 0 star rating. would you like to book a room?","restaurant, hotel",['find_hotel'],{'hotel-name': 'cityroomz'},10,30
PMUL0121.json,yes please. i need it for 7 people for 3 nights starting on tuesday.,how many days would you like to book it for?,"restaurant, hotel",['book_hotel'],"{'hotel-bookday': 'tuesday', 'hotel-bookpeople': '7', 'hotel-bookstay': '3', 'hotel-name': 'cityroomz'}",14,10
PMUL0121.json,i would like to book it for 3 nights beginning on tuesday.,"ok, your rooms have been booked. your reference number is cyjdar7r . is there anything else i can help you with today?","restaurant, hotel",['book_hotel'],"{'hotel-bookday': 'tuesday', 'hotel-bookpeople': '7', 'hotel-bookstay': '3', 'hotel-name': 'cityroomz'}",12,22
PMUL0121.json,"yeah, i need a restaurant in the west and with expensive pricing.",there are 9 expensive restaurants in the west area. do you prefer a certain type of food?,"restaurant, hotel",['find_restaurant'],"{'restaurant-area': 'west', 'restaurant-pricerange': 'expensive', 'hotel-bookday': 'tuesday', 'hotel-bookpeople': '7', 'hotel-bookstay': '3', 'hotel-name': 'cityroomz'}",12,17
PMUL0121.json,"no, i don't have a preference, but i need the phone number and postcode.","i recommend graffiti, the number is 01223277977 and the postcode is cb30lx. would you like me to book a table for you?","restaurant, hotel",['find_restaurant'],"{'restaurant-area': 'west', 'restaurant-pricerange': 'expensive', 'hotel-bookday': 'tuesday', 'hotel-bookpeople': '7', 'hotel-bookstay': '3', 'hotel-name': 'cityroomz'}",14,22
PMUL0121.json,"no, right now, i just need the infor. thanks!",can i help you with anything else today?,"restaurant, hotel",[],"{'restaurant-area': 'west', 'restaurant-pricerange': 'expensive', 'hotel-bookday': 'tuesday', 'hotel-bookpeople': '7', 'hotel-bookstay': '3', 'hotel-name': 'cityroomz'}",9,8
PMUL0121.json,that is all. thanks,thank you for using our system.,"restaurant, hotel",[],"{'restaurant-area': 'west', 'restaurant-pricerange': 'expensive', 'hotel-bookday': 'tuesday', 'hotel-bookpeople': '7', 'hotel-bookstay': '3', 'hotel-name': 'cityroomz'}",4,6
PMUL3484.json,i am looking for a hotel named alyesbray lodge guest house.,"i have their info, what would you like to know?","restaurant, taxi, hotel",['find_hotel'],"{'hotel-name': ['alyesbray lodge guest house', 'aylesbray lodge guest house']}",11,10
PMUL3484.json,i would like to book a reservation for it. can you help me with that?,"i sure can. first, i will need to know when you want your stay to begin and how many days you'll be staying. also, how many people will be staying?","restaurant, taxi, hotel",['find_hotel'],"{'hotel-name': ['aylesbray lodge guest house', 'alyesbray lodge guest house']}",15,30
PMUL3484.json,we will be arriving on sunday and will stay for 5 nights.,can you tell me how many guests will be staying in the room?,"restaurant, taxi, hotel",['book_hotel'],"{'hotel-bookday': 'sunday', 'hotel-bookstay': '5', 'hotel-name': ['aylesbray lodge guest house', 'alyesbray lodge guest house']}",12,13
PMUL3484.json,there will be 8 guests.,booking was successful. your reference number is 4ufn3swc . will that be all for today?,"restaurant, taxi, hotel",['book_hotel'],"{'hotel-bookday': 'sunday', 'hotel-bookpeople': '8', 'hotel-bookstay': '5', 'hotel-name': ['aylesbray lodge guest house', 'alyesbray lodge guest house']}",5,15
PMUL3484.json,that is it thank you.,you have a nice day then!,"restaurant, taxi, hotel",[],"{'hotel-bookday': 'sunday', 'hotel-bookpeople': '8', 'hotel-bookstay': '5', 'hotel-name': ['aylesbray lodge guest house', 'alyesbray lodge guest house']}",5,6
PMUL3484.json,can you actually look up a restaurant for me as well?,sure thing what's the area and or name?,"restaurant, taxi, hotel",['find_restaurant'],"{'hotel-bookday': 'sunday', 'hotel-bookpeople': '8', 'hotel-bookstay': '5', 'hotel-name': ['aylesbray lodge guest house', 'alyesbray lodge guest house']}",11,8
PMUL3484.json,it's a place called don pasquale pizzeria.,a very nice place in the centre. need a reservation?,"restaurant, taxi, hotel",['find_restaurant'],"{'restaurant-name': 'don pasquale pizzeria', 'hotel-bookday': 'sunday', 'hotel-bookpeople': '8', 'hotel-bookstay': '5', 'hotel-name': ['aylesbray lodge guest house', 'alyesbray lodge guest house']}",7,10
PMUL3484.json,"yes, i do. i'll need it booked for the same day, same people, and we'd like to eat at 19:00.",booking was successful. the table will be reserved for 15 minutes. reference number is : gvm0pam2 .,"restaurant, taxi, hotel","['book_restaurant', 'find_taxi']","{'restaurant-bookday': 'sunday', 'restaurant-bookpeople': '8', 'restaurant-booktime': '19:00', 'restaurant-name': 'don pasquale pizzeria', 'hotel-bookday': 'sunday', 'hotel-bookpeople': '8', 'hotel-bookstay': '5', 'hotel-name': ['aylesbray lodge guest house', 'alyesbray lodge guest house']}",20,17
PMUL3484.json,great. one more thing. can you book a taxi between the two places? i'd like to arrive at the restaurant in time for my reservation.,contact number 07404031593. you are in a red skoda.,"restaurant, taxi, hotel",['find_taxi'],"{'taxi-arriveby': '19:00', 'taxi-departure': ['alyesbray lodge guest house', 'aylesbray lodge guest house'], 'taxi-destination': 'don pasquale pizzeria', 'restaurant-bookday': 'sunday', 'restaurant-bookpeople': '8', 'restaurant-booktime': '19:00', 'restaurant-name': 'don pasquale pizzeria', 'hotel-bookday': 'sunday', 'hotel-bookpeople': '8', 'hotel-bookstay': '5', 'hotel-name': ['aylesbray lodge guest house', 'alyesbray lodge guest house']}",25,9
PMUL3484.json,thank you so much that was all i needed.,"alright, hope you enjoy the rest of your day.","restaurant, taxi, hotel",[],"{'taxi-arriveby': '19:00', 'taxi-departure': 'aylesbray lodge guest house', 'taxi-destination': 'don pasquale pizzeria', 'restaurant-bookday': 'sunday', 'restaurant-bookpeople': '8', 'restaurant-booktime': '19:00', 'restaurant-name': 'don pasquale pizzeria', 'hotel-bookday': 'sunday', 'hotel-bookpeople': '8', 'hotel-bookstay': '5', 'hotel-name': ['aylesbray lodge guest house', 'alyesbray lodge guest house']}",9,9
SNG01520.json,i am looking for a restaurant. i would like something cheap that has chinese food.,i've heard good things about the lucky star. need a reservation?,restaurant,['find_restaurant'],"{'restaurant-food': 'chinese', 'restaurant-pricerange': 'cheap'}",15,11
SNG01520.json,"yes, could you make a reservation for 1 at 20:00 on saturday?",your booking was successful. the table will be reserved for 15 minutes. reference number is : fdlfktzm .,restaurant,['book_restaurant'],"{'restaurant-bookday': 'saturday', 'restaurant-bookpeople': '1', 'restaurant-booktime': '20:00', 'restaurant-food': 'chinese', 'restaurant-name': 'the lucky star', 'restaurant-pricerange': 'cheap'}",12,18
SNG01520.json,thank you so much for your help!,you're welcome. thank you! have a good day now!,restaurant,[],"{'restaurant-bookday': 'saturday', 'restaurant-bookpeople': '1', 'restaurant-booktime': '20:00', 'restaurant-food': 'chinese', 'restaurant-name': 'the lucky star', 'restaurant-pricerange': 'cheap'}",7,9
SNG01520.json,"thanks, you too. goodbye.",thank you for using cambridge towninfo centre. good-bye,restaurant,[],"{'restaurant-bookday': 'saturday', 'restaurant-bookpeople': '1', 'restaurant-booktime': '20:00', 'restaurant-food': 'chinese', 'restaurant-name': 'the lucky star', 'restaurant-pricerange': 'cheap'}",4,8
PMUL3951.json,please find me a train from cambridge to stansted airport,"sure, i can do that but first i need a little more information. what day would you like to travel as well as departure and arrival times?","restaurant, train",['find_train'],"{'train-departure': 'cambridge', 'train-destination': 'stansted airport'}",10,27
PMUL3951.json,saturday leaving cambridge anytime after 20:00 please,tr3128 will leave at 20:40 and arrive by 21:08. do you need more information or would you like to book tickets?,"restaurant, train","['find_train', 'find_restaurant']","{'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport', 'train-leaveat': '20:00'}",7,21
PMUL3951.json,can you book me 6 tickets please?,you're all set. total for tickets is 48.48 gbp payable at the station. reference number is jd6sa21j .,"restaurant, train",['book_train'],"{'train-bookpeople': '6', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport', 'train-leaveat': '20:00'}",7,18
PMUL3951.json,i am also looking for the riverside brasserie.,riverside brasserie is a modern european restaurant in the centre. its address is doubletree by hilton cambridge granta place mill lane and postcode is cb21rt. want to book it?,"restaurant, train",['find_restaurant'],"{'restaurant-name': 'riverside brasserie', 'train-bookpeople': '6', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport', 'train-leaveat': '20:00'}",8,29
PMUL3951.json,"yes, i would like to book it and get a reference number.","unfortunately, i cannot book it at this time.","restaurant, train",['find_restaurant'],"{'restaurant-area': 'centre', 'restaurant-food': 'modern european', 'restaurant-name': 'riverside brasserie', 'train-bookpeople': '6', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport', 'train-leaveat': '20:00'}",12,8
PMUL3951.json,can you try for saturday at 13:00?,how many people will be dining?,"restaurant, train","['book_restaurant', 'book_train']","{'restaurant-area': 'centre', 'restaurant-bookday': 'saturday', 'restaurant-booktime': '13:00', 'restaurant-food': 'modern european', 'restaurant-name': 'riverside brasserie', 'train-bookpeople': '6', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport', 'train-leaveat': '20:00'}",7,6
PMUL3951.json,6 people will be dining,your booking was successful. your reference number is 3vx3aoks .,"restaurant, train",['book_restaurant'],"{'restaurant-area': 'centre', 'restaurant-bookday': 'saturday', 'restaurant-bookpeople': '6', 'restaurant-booktime': '13:00', 'restaurant-food': 'modern european', 'restaurant-name': 'riverside brasserie', 'train-bookpeople': '6', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport', 'train-leaveat': '20:00'}",5,10
PMUL3951.json,thanks for everything you have been great!,thank you is there anything else today?,"restaurant, train",[],"{'restaurant-area': 'centre', 'restaurant-bookday': 'saturday', 'restaurant-bookpeople': '6', 'restaurant-booktime': '13:00', 'restaurant-food': 'modern european', 'restaurant-name': 'riverside brasserie', 'train-bookpeople': '6', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport', 'train-leaveat': '20:00'}",7,7
PMUL3951.json,no that is all i needed. thank you ever so kindly.,wonderful. i'm glad i could help. have a great day. goodbye.,"restaurant, train",[],"{'restaurant-area': 'centre', 'restaurant-bookday': 'saturday', 'restaurant-bookpeople': '6', 'restaurant-booktime': '13:00', 'restaurant-food': 'modern european', 'restaurant-name': 'riverside brasserie', 'train-bookpeople': '6', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport', 'train-leaveat': '20:00'}",11,11
PMUL0843.json,i'm looking for an expensive restaurant in the centre if you could help me.,i sure can. there are lots of choices. are you looking for a particular type of food?,"restaurant, train",['find_restaurant'],"{'restaurant-area': 'centre', 'restaurant-pricerange': 'expensive'}",14,17
PMUL0843.json,"no, not really. i think i'd like to try something different. could you suggest something?",there is a korean restaurant called little seoul located at 108 regent street city centre. would you like their phone number?,"restaurant, train",['find_restaurant'],"{'restaurant-area': 'centre', 'restaurant-pricerange': 'expensive'}",15,21
PMUL0843.json,"yes, i would like both the phone number and the postcode please.","the phone number for little seoul is 01223308681, postcode cb21dp. can i help you with anything else today?","restaurant, train",['find_restaurant'],"{'restaurant-area': 'centre', 'restaurant-name': 'little seoul', 'restaurant-pricerange': 'expensive'}",12,18
PMUL0843.json,can i also have the address please?,"the address for little seoul is 108 regent street, city centre. is there anything else i can help you with?","restaurant, train",['find_restaurant'],"{'restaurant-area': 'centre', 'restaurant-name': 'little seoul', 'restaurant-pricerange': 'expensive'}",7,20
PMUL0843.json,i also want to see the travel times for a train going from kings lynn from cambridge on saturday. it should leave after 09:15.,is there a time you would like to arrive by?,"restaurant, train",['find_train'],"{'restaurant-area': 'centre', 'restaurant-name': 'little seoul', 'restaurant-pricerange': 'expensive', 'train-day': 'saturday', 'train-departure': 'kings lynn', 'train-destination': 'cambridge', 'train-leaveat': '09:15'}",24,10
PMUL0843.json,i got that backwards. need a train leaving kings lynn after 9:15 and arriving in cambridge sometime on saturday.,tr2514 leaves at 10:11 and arrives at 10:58. will this one work for you?,"restaurant, train",['find_train'],"{'restaurant-area': 'centre', 'restaurant-name': 'little seoul', 'restaurant-pricerange': 'expensive', 'train-day': 'saturday', 'train-departure': 'kings lynn', 'train-destination': 'cambridge', 'train-leaveat': '09:15'}",19,14
PMUL0843.json,sure. could you tell me the exact travel time?,sure. the travel time for tr2514 is 47 minutes. anything else i can help you with today?,"restaurant, train",['find_train'],"{'restaurant-area': 'centre', 'restaurant-name': 'little seoul', 'restaurant-pricerange': 'expensive', 'train-day': 'saturday', 'train-departure': 'kings lynn', 'train-destination': 'cambridge', 'train-leaveat': '09:15'}",9,17
PMUL0843.json,that is it for today. good day thank you,have a wonderful day yourself. goodbye.,"restaurant, train",[],"{'restaurant-area': 'centre', 'restaurant-name': 'little seoul', 'restaurant-pricerange': 'expensive', 'train-day': 'saturday', 'train-departure': 'kings lynn', 'train-destination': 'cambridge', 'train-leaveat': '09:15'}",9,6
PMUL2979.json,i'm looking for a places to go and see during my upcoming trip to cambridge.,what area of town would you like?,"taxi, attraction, hotel",['find_hotel'],{},15,7
PMUL2979.json,i would like to go to the south area please.,"on the south side, your options are the cinema, entertainment venues, museums, nightclubs, parks, and a theatre.","taxi, attraction, hotel",['find_attraction'],{'attraction-area': 'south'},10,17
PMUL2979.json,"that's a lot of choices, how about nightclubs? can you get me a couple of phone numbers for good ones? i'm hoping to catch dj squalour from ibiza!",the only nightclub in the south is called the place on 22 sidney street. phone number is 01223324600. can i help you with anything else?,"taxi, attraction, hotel",['find_attraction'],"{'attraction-area': 'south', 'attraction-type': 'nightclub'}",28,25
PMUL2979.json,"yes, i would like an expensive hotel with free parking.","i have places that fit that description all over town, except in the north. if area is no concern, i recommend the gonville in the center of town.","taxi, attraction, hotel",['find_hotel'],"{'hotel-parking': 'yes', 'hotel-pricerange': 'expensive', 'attraction-area': 'south', 'attraction-type': 'nightclub'}",10,28
PMUL2979.json,is it four star?,"no, it only 3 stars. the huntington marriott is 4 stars though. it is also expensive and has free parking and internet.","taxi, attraction, hotel",['find_hotel'],"{'hotel-parking': 'yes', 'hotel-pricerange': 'expensive', 'attraction-area': 'south', 'attraction-type': 'nightclub'}",4,22
PMUL2979.json,okay well now i need to get a taxi to leave the hotel by 17:45 to the attraction. i will need a contact number and car type.,booking completed! booked car type : red lexus contact number : 07421633218,"taxi, attraction, hotel",['find_taxi'],"{'taxi-departure': ['huntington marriott', 'huntingdon marriott hotel'], 'taxi-destination': ['places', 'the place'], 'taxi-leaveat': '17:45', 'hotel-parking': 'yes', 'hotel-pricerange': 'expensive', 'attraction-area': 'south', 'attraction-type': 'nightclub'}",27,12
PMUL2979.json,"i want to confirm that the booked red lexus is a taxi, as i previously requested?","yes, it is! anything else needed?","taxi, attraction, hotel",['find_taxi'],"{'taxi-departure': ['huntingdon marriott hotel', 'huntington marriott'], 'taxi-destination': ['the place', 'places'], 'taxi-leaveat': '17:45', 'hotel-parking': 'yes', 'hotel-pricerange': 'expensive', 'attraction-area': 'south', 'attraction-type': 'nightclub'}",16,6
PMUL2979.json,no that is it. thank you!,you are welcome. enjoy your stay.,"taxi, attraction, hotel",[],"{'taxi-departure': ['huntingdon marriott hotel', 'huntington marriott'], 'taxi-destination': ['the place', 'places'], 'taxi-leaveat': '17:45', 'hotel-parking': 'yes', 'hotel-pricerange': 'expensive', 'attraction-area': 'south', 'attraction-type': 'nightclub'}",6,6
MUL1681.json,"hi, i'd like to book a train to stansted airport from cambridge. can you help?",absolutely. where will you departing from?,"restaurant, train",['find_train'],"{'train-departure': 'cambridge', 'train-destination': 'stansted airport'}",15,6
MUL1681.json,"from cambridge, which is why i asked the cambridge towninfo centre.",what day would you like to leave?,"restaurant, train",['find_train'],"{'train-departure': 'cambridge', 'train-destination': 'stansted airport'}",11,7
MUL1681.json,on saturday. is there a train that will arrive by 15:15?,there is! tr7213 leaves at 05:40 and arrive at 06:08 it is 10.10 pounds. can i book that for you?,"restaurant, train",['find_train'],"{'train-arriveby': '15:15', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport'}",11,20
MUL1681.json,no need to book it. thanks. but can you help me find a cheap restaurant in the south?,sure - the lucky star serves chinese food and nandos serves portuguese food. do either of those sound good?,"restaurant, train",['find_restaurant'],"{'restaurant-area': 'south', 'restaurant-pricerange': 'cheap', 'train-arriveby': '15:15', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport'}",18,19
MUL1681.json,the lucky star sounds good. that's all i need.,would you like to book a table?,"restaurant, train",['find_restaurant'],"{'restaurant-area': 'south', 'restaurant-pricerange': 'cheap', 'train-arriveby': '15:15', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport'}",9,7
MUL1681.json,can you also tell me the postcode?,sure. the post code is cb17dy.,"restaurant, train",['find_restaurant'],"{'restaurant-area': 'south', 'restaurant-name': 'the lucky star', 'restaurant-pricerange': 'cheap', 'train-arriveby': '15:15', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport'}",7,6
MUL1681.json,thanks for your help. good bye.,you're welcome. please let me know if you need anything else.,"restaurant, train",[],"{'restaurant-area': 'south', 'restaurant-name': 'the lucky star', 'restaurant-pricerange': 'cheap', 'train-arriveby': '15:15', 'train-day': 'saturday', 'train-departure': 'cambridge', 'train-destination': 'stansted airport'}",6,11
MUL0928.json,"yeah, could you recommend a good gastropub?",backstreet bistro. it's expensive though. there is a moderately priced one called the cow pizza kitchen and bar if preferred.,"restaurant, attraction",['find_restaurant'],{'restaurant-food': 'gastropub'},7,20
MUL0928.json,i would like to book a table at the backstreet bistro for 5 people at 16:00 on thursday.,no problem. that is booked for you and your reference number is 2ve84yc5 . is there anything else i can book for you?,"restaurant, attraction",['book_restaurant'],"{'restaurant-bookday': 'thursday', 'restaurant-bookpeople': '5', 'restaurant-booktime': '16:00', 'restaurant-food': 'gastropub', 'restaurant-name': 'backstreet bistro'}",18,23
MUL0928.json,"yes, any suggestions of museums found in the east area of town?","yes, gallery at twelve a high street is excellent, and has free admission. would you like more information?","restaurant, attraction",['find_attraction'],"{'restaurant-bookday': 'thursday', 'restaurant-bookpeople': '5', 'restaurant-booktime': '16:00', 'restaurant-food': 'gastropub', 'restaurant-name': 'backstreet bistro', 'attraction-area': 'east', 'attraction-type': 'museum'}",12,18
MUL0928.json,can i please have the phone number and address for that place?,certainly! the address for gallery at twelve a high street is fulbourn and the phone number is 01223295264. can i help you with anything else?,"restaurant, attraction",['find_attraction'],"{'restaurant-bookday': 'thursday', 'restaurant-bookpeople': '5', 'restaurant-booktime': '16:00', 'restaurant-food': 'gastropub', 'restaurant-name': 'backstreet bistro', 'attraction-area': 'east', 'attraction-name': 'gallery', 'attraction-type': 'museum'}",12,25
MUL0928.json,"great that's all the information i needed today, thank you!",you are very welcome. have a nice day. good bye.,"restaurant, attraction",[],"{'restaurant-bookday': 'thursday', 'restaurant-bookpeople': '5', 'restaurant-booktime': '16:00', 'restaurant-food': 'gastropub', 'restaurant-name': 'backstreet bistro', 'attraction-area': 'east', 'attraction-name': 'gallery', 'attraction-type': 'museum'}",10,10
WOZ20645.json,"i want to find an expensive restaurant and serves european food. can i also have the address, phone number and its area. ?",eraina is a european restaurant in the centre area. their address is st. michael's church trinity street city centre and phone number 01223 355166.,restaurant,['find_restaurant'],"{'restaurant-food': 'european', 'restaurant-pricerange': 'expensive'}",23,24
WOZ20645.json,thank you goodbye,thank you and good bye,restaurant,[],"{'restaurant-food': 'european', 'restaurant-pricerange': 'expensive'}",3,5
PMUL2460.json,where's a good place to eat crossover food in cambridge?,there are no crossover locations in cambridge.,"restaurant, attraction",['find_restaurant'],{'restaurant-food': 'crossover'},10,7
PMUL2460.json,how about british restaurants in the centre instead?,i have 7 in the centre that serve british food. i have 4 in the moderate price range and 3 in the expensive. did you have a preference?,"restaurant, attraction","['find_restaurant', 'find_attraction']","{'restaurant-area': 'centre', 'restaurant-food': 'british'}",8,28
PMUL2460.json,i would prefer the british food.,i have cotto that serves moderate priced food. would you like to book a table?,"restaurant, attraction",['find_restaurant'],"{'restaurant-area': 'centre', 'restaurant-food': 'british', 'restaurant-pricerange': 'dontcare'}",6,15
PMUL2460.json,yes please make a booking for 8 people at 12:30 on friday.,i have made your booking here is the information:booking was successful. the table will be reserved for 15 minutes. reference number is : vvsoh0tq .,"restaurant, attraction",['book_restaurant'],"{'restaurant-area': 'centre', 'restaurant-bookday': 'friday', 'restaurant-bookpeople': '8', 'restaurant-booktime': '12:30', 'restaurant-food': 'british', 'restaurant-name': 'cotto', 'restaurant-pricerange': 'moderate'}",12,25
PMUL2460.json,what's a good college to visit near the restaurant?,there are 13 colleges in the centre. is there a particular one you are interested in?,"restaurant, attraction",['find_attraction'],"{'restaurant-area': 'centre', 'restaurant-bookday': 'friday', 'restaurant-bookpeople': '8', 'restaurant-booktime': '12:30', 'restaurant-food': 'british', 'restaurant-name': 'cotto', 'restaurant-pricerange': 'moderate', 'attraction-area': 'centre', 'attraction-type': 'college'}",9,16
PMUL2460.json,any college will be fine what do you recommend? i need the phone number for whichever you pick.,christi's college is in that area and has free entrance. there phone number is 01223334900. is there anything else i can assist you with?,"restaurant, attraction",['find_attraction'],"{'restaurant-area': 'centre', 'restaurant-bookday': 'friday', 'restaurant-bookpeople': '8', 'restaurant-booktime': '12:30', 'restaurant-food': 'british', 'restaurant-name': 'cotto', 'restaurant-pricerange': 'moderate', 'attraction-area': 'centre', 'attraction-name': 'dontcare', 'attraction-type': 'college'}",18,24
PMUL2460.json,that is all i needed.,thank you for choosing us and enjoy your stay.,"restaurant, attraction",['find_attraction'],"{'restaurant-area': 'centre', 'restaurant-bookday': 'friday', 'restaurant-bookpeople': '8', 'restaurant-booktime': '12:30', 'restaurant-food': 'british', 'restaurant-name': 'cotto', 'restaurant-pricerange': 'moderate', 'attraction-area': 'centre', 'attraction-name': 'dontcare', 'attraction-type': 'college'}",5,9
MUL0358.json,i want a restaurant in the north of cambridge that is within a moderate price range.,"there are two restaurants fitting your description, one is chinese cuisine and one is indian cuisine. do you have a preference?","restaurant, train","['find_restaurant', 'find_train']","{'restaurant-area': 'north', 'restaurant-pricerange': 'moderate'}",16,21
MUL0358.json,please book a table for 4 at the chinese place at 12:30 on sunday and give me the reference number.,okay you're all set for sunday at 12:30. your reference number is f5btp63a . can i help you find anything else?,"restaurant, train",['book_restaurant'],"{'restaurant-area': 'north', 'restaurant-bookday': 'sunday', 'restaurant-bookpeople': '4', 'restaurant-booktime': '12:30', 'restaurant-food': 'chinese', 'restaurant-pricerange': 'moderate'}",20,21
MUL0358.json,i am also looking for a train that goes to broxbourne on monday.,there are 19 trains to broxbourne on monday leaving every hour starting at 05:01. is there a specific time you'd like?,"restaurant, train",['find_train'],"{'restaurant-area': 'north', 'restaurant-bookday': 'sunday', 'restaurant-bookpeople': '4', 'restaurant-booktime': '12:30', 'restaurant-pricerange': 'moderate', 'train-day': 'monday', 'train-destination': 'broxbourne'}",13,21
MUL0358.json,i would like to arrive in broxbourne by 13:00.,the one arriving closest to 13:00 is tr5971 leaving cambridge at 11:01 and arrives by 12:01 in broxbourne. would you like to book a ticket?,"restaurant, train",['find_train'],"{'restaurant-area': 'north', 'restaurant-bookday': 'sunday', 'restaurant-bookpeople': '4', 'restaurant-booktime': '12:30', 'restaurant-pricerange': 'moderate', 'train-arriveby': '13:00', 'train-day': 'monday', 'train-destination': 'broxbourne'}",9,25
MUL0358.json,can i just get the price on one of them?,all tickets from cambridge to broxbourne on that day cost 17.90 pounds each.,"restaurant, train",['find_train'],"{'restaurant-area': 'north', 'restaurant-bookday': 'sunday', 'restaurant-bookpeople': '4', 'restaurant-booktime': '12:30', 'restaurant-pricerange': 'moderate', 'train-arriveby': '13:00', 'train-day': 'monday', 'train-destination': 'broxbourne'}",10,13
